# Fila gamedevmap da Suecia e da Dinamarca, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# Estes dois paises tinham devolvido pagina vazia na rodada anterior do mesmo dia; na
# segunda tentativa o gamedevmap respondeu 200 normalmente, entao era instabilidade dele.
# So os do tipo Developer e Developer and Publisher, ja passados pelo dedupe da campanha.
# Suecia 50, Dinamarca 47.
Corner Studio Games,Developer,Copenhagen,Oresund,Denmark,https://cornerstudiogames.com/,NOVO
Crinkle Cut Games,Developer,Copenhagen,Oresund,Denmark,https://crinklecutgames.com/,NOVO
Flatponies (VRUnicorns),Developer,Copenhagen,Oresund,Denmark,https://flatponies.com/,NOVO
Framebunker,Developer,Copenhagen,Oresund,Denmark,https://www.framebunker.com,NOVO
frecle,Developer,Copenhagen,Oresund,Denmark,https://www.frecle.net,NOVO
Funday Games,Developer,Aarhus,Aarhus,Denmark,https://fundaygames.dk/,NOVO
Game Swing,Developer,Copenhagen,Oresund,Denmark,https://www.game-swing.com,NOVO
Gears for Breakfast,Developer,Copenhagen,Oresund,Denmark,https://gearsforbreakfast.com/,NOVO
Geometric Interactive,Developer,Copenhagen,Oresund,Denmark,https://geometricinteractive.com/,NOVO
Ghost Ship Games (Coffee Stain),Developer,Copenhagen,Oresund,Denmark,https://ghostship.dk/,NOVO
Guppyworks,Developer,Copenhagen,Oresund,Denmark,https://www.guppyworks.com,NOVO
Half Past Yellow,Developer,Copenhagen,Oresund,Denmark,https://halfpastyellow.com/,NOVO
House on Fire,Developer,Copenhagen,Oresund,Denmark,https://houseonfire.dk,NOVO
Hovgaard Games,Developer,Copenhagen,Oresund,Denmark,https://hovgaard.com/,NOVO
Hutlihut Games,Developer,Copenhagen,Oresund,Denmark,https://hutlihut.dk/,NOVO
Indoor Sunglasses,Developer,Copenhagen,Oresund,Denmark,https://mind-diver.com/,NOVO
Invisible Walls (Amplifier Game Invest),Developer,Copenhagen,Oresund,Denmark,https://invisiblewalls.co/,NOVO
IO Interactive,Developer,Copenhagen,Oresund,Denmark,https://ioi.dk/,NOVO
Klassefilm,Developer,Copenhagen,Oresund,Denmark,https://www.klassefilm.dk,NOVO
Kong Orange,Developer,Aarhus,Aarhus,Denmark,https://www.kongorange.com,NOVO
Lost Umbrella Games,Developer,Copenhagen,Oresund,Denmark,https://lostumbrellagames.com/,NOVO
Lunch Money Games,Developer,Aarhus,Aarhus,Denmark,https://lunchmoney.games/,NOVO
Moonmen Games,Developer,Copenhagen,Oresund,Denmark,https://www.moonmengames.com,NOVO
MP2 Games,Developer and Publisher,Copenhagen,Oresund,Denmark,https://mp2.dk/,NOVO
Neon Aurelius,Developer,Copenhagen,Oresund,Denmark,https://neonaurelius.com/,NOVO
Northplay,Developer,Copenhagen,Oresund,Denmark,https://www.northplay.co/,NOVO
Other Tales,Developer,Copenhagen,Oresund,Denmark,https://www.othertalesinteractive.com,NOVO
Pine Creek Games,Developer,Havnso,Zealand,Denmark,https://www.pinecreekgames.com/,NOVO
Playdead,Developer,Copenhagen,Oresund,Denmark,https://www.playdead.com,NOVO
Raw Power Games,Developer,Copenhagen,Oresund,Denmark,https://rawpowergames.com/,NOVO
Rhombico Games,Developer,Vejle,Region Syddanmark,Denmark,https://www.rhombicogames.com,NOVO
Rune Vision,Developer,Copenhagen,Oresund,Denmark,https://www.runevision.com,NOVO
Savivo,Developer,Copenhagen,Oresund,Denmark,http://www.savivo.com/,NOVO
Silkroad Studios,Developer,Copenhagen,Oresund,Denmark,https://silkroadstudios.net/,NOVO
Slipgate Ironworks,Developer,Aalborg,Jutland,Denmark,https://slipgate-ironworks.com/,NOVO
The Outer Zone,Developer,Copenhagen,Oresund,Denmark,https://theouterzone.itch.io/,NOVO
Throughline Games,Developer,Copenhagen,Oresund,Denmark,https://www.throughlinegames.com,NOVO
Triband,Developer,Copenhagen,Oresund,Denmark,https://www.triband.net,NOVO
Trophy Games,Developer,Copenhagen,Oresund,Denmark,https://www.trophy-games.com,NOVO
Unity Technologies,Developer,Copenhagen,Oresund,Denmark,https://www.unity3d.com,NOVO
Wiredfly,Developer,Aarhus,Aarhus,Denmark,https://www.wiredfly.dk/,NOVO
Wombo Games,Developer,Copenhagen,Oresund,Denmark,https://www.wombogames.com/,NOVO
