# Fila gamedevmap do resto da Europa que trabalha em ingles, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# So os do tipo Developer e Developer and Publisher. Filtrar por encaixe antes de aprovar.
# Sweden e Denmark ficaram de fora: o gamedevmap devolveu pagina vazia para os dois nesta rodada.
Cat-astrophe Games,Developer,Wroclaw,Lower Silesia,Poland,https://cat-astrophe-games.com/,NOVO
ChaosForge,Developer,Wroclaw,Lower Silesia,Poland,https://chaosforge.org/,NOVO
Chess & Checkers Games,Developer,Warsaw,Masovian,Poland,https://www.chessandcheckers.io/,NOVO
Chicken Launcher,Developer,Wroclaw,Lower Silesia,Poland,https://awakenrealms.com/,NOVO
Ci Games,Developer and Publisher,Warsaw,Masovian,Poland,https://cigames.com/,NOVO
Code Horizon,Developer,Katowice,Silesia,Poland,https://www.codehorizon.pl,NOVO
CodeJungle,Developer,Przystajn,Silesia,Poland,https://www.codejungle.pl,NOVO
Cogwheel Software,Developer,Warsaw,Masovian,Poland,https://cogwheelsoftware.com/,NOVO
CreativeForge Games,Developer,Warsaw,Masovian,Poland,https://www.creativeforge.pl,NOVO
Creepy Jar,Developer,Warsaw,Masovian,Poland,https://creepyjar.com/e,NOVO
Critical Hit Games,Developer,Warsaw,Masovian,Poland,https://criticalhit.games/,NOVO
Crunching Koalas,Developer and Publisher,Warsaw,Masovian,Poland,http://www.crunchingkoalas.com/,NOVO
Dark Jay Studio,Developer,Gdansk,West Pomeranian,Poland,https://darkjay.com/,NOVO
Destructive Creations,Developer,Gliwice,Silesia,Poland,https://destructivecreations.com/,NOVO
Detalion,Developer,Rzeszow,Subcarpathia,Poland,http://www.detalion.com/,NOVO
Different Tales,Developer,Warsaw,Masovian,Poland,https://differenttales.com,NOVO
Digifox Games,Developer,Warsaw,Masovian,Poland,https://digifox.games/,NOVO
Digital Daredevils,Developer,Wroclaw,Lower Silesia,Poland,https://digitaldaredevils.pl/,NOVO
Disco Angels,Developer,Lodz,Lodz,Poland,https://disco-angels.itch.io/heartbreaker,NOVO
Donkey Crew,Developer,Wroclaw,Lower Silesia,Poland,https://www.donkey.team/,NOVO
Drago Entertainment,Developer,Krakow,Lesser Poland,Poland,https://www.drago-entertainment.com,NOVO
Draw Distance,Developer,Krakow,Lesser Poland,Poland,https://drawdistance.dev/,NOVO
Egobounds,Developer,Olsztyn,Warminsko-Mazurskie,Poland,https://www.egobounds.com/,NOVO
Electric Succubi,Developer,Wejherowski,Pomorskie,Poland,https://keeperrl.com/,NOVO
Electric Succubi,Developer,Wroclaw,Lower Silesia,Poland,https://keeperrl.com/,NOVO
Elsewhere Entertainment,Developer,Warsaw,Masovian,Poland,https://www.activision.com/elsewhere,NOVO
Eremite Games,Developer,Wroclaw,Lower Silesia,Poland,https://eremitegames.com/,NOVO
Event Horizon,Developer,Gdynia,Pomorskie,Poland,https://www.evehor.com,NOVO
Exor Studios,Developer,Szczecin,West Pomeranian,Poland,https://www.exorstudios.com,NOVO
Far From Home,Developer,Wroclaw,Lower Silesia,Poland,https://www.farfromhomegames.com,NOVO
Far From Home Games,Developer,Wroclaw,Lower Silesia,Poland,https://www.farfromhomegames.com/,NOVO
Flying Wild Hog,Developer,Krakow,Lesser Poland,Poland,https://flyingwildhog.com/,NOVO
Flying Wild Hog,Developer,Rzeszow,Subcarpathia,Poland,https://flyingwildhog.com/,NOVO
Flying Wild Hog,Developer,Warsaw,Masovian,Poland,https://flyingwildhog.com/,NOVO
Fool’s Theory,Developer,Bielsko-Biala,Silesia,Poland,https://foolstheory.com/,NOVO
Forever Entertainment,Developer and Publisher,Gdynia,Pomorskie,Poland,https://forever-entertainment.com/,NOVO
Fractured Byte,Developer,Warsaw,Masovian,Poland,https://fracturedbyte.com/,NOVO
Free Fall Entertainment,Developer,Wroclaw,Lower Silesia,Poland,https://www.freefallgames.dev/,NOVO
Frozen District,Developer,Krakow,Krakow,Poland,https://frozendistrict.com/,NOVO
Frozen Way,Developer,Krakow,Krakow,Poland,https://frozenwaygames.com/,NOVO
Fulqrum Games,Developer and Publisher,Warsaw,Masovian,Poland,https://fulqrum.games/,NOVO
FUMES Team,Developer,Lodz,Lodz,Poland,https://tarkovsky.itch.io/,NOVO
Fumi Games,Developer,Warsaw,Masovian,Poland,https://www.fumigames.com/,NOVO
Gamedust,Developer and Publisher,Poznan,Greater Poland,Poland,https://www.gamedust.co,NOVO
GameHunters Studio,Developer,Warsaw,Masovian,Poland,https://gamehunters-studio.com/,NOVO
GameLoad,Developer,Warsaw,Masovian,Poland,https://gameload.gg/,NOVO
Games Incubator,Developer,Warsaw,Masovian,Poland,https://games-i.com/,NOVO
2Awesome Studio,Developer,Barcelona,Catalonia,Spain,https://www.2awesomestudio.com/,NOVO
2K Madrid,Developer and Publisher,Madrid,Madrid,Spain,https://2kmadrid.com/,NOVO
31st Union (2K),Developer,Valencia,Valencia,Spain,https://thirtyfirstunion.com/,NOVO
333Studios,Developer,Barcelona,Catalonia,Spain,https://333-studios.com/,NOVO
43 Studios,Developer,Barcelona,Catalonia,Spain,https://www.hellofanoffice.com/,NOVO
A Bonfire of Souls,Developer,Malaga,Malaga,Spain,https://abonfireofsouls.com/,NOVO
AAA GameStudios,Developer,Madrid,Madrid,Spain,https://www.aaagamestudios.com/,NOVO
Abylight Barcelona,Developer,Barcelona,Catalonia,Spain,https://abylight.com/,NOVO
Aeturnum Game Studios,Developer,Talavera de la Reina,Toledo,Spain,https://aeternathegame.com/,NOVO
AHEARTFULOFGAMES,Developer,Madrid,Madrid,Spain,https://aheartfulofgames.com/,NOVO
Akaoni Studios,Developer,Valencia,Valencia,Spain,http://akaonistudio.com/,NOVO
AlenarSoft,Developer,Barcelona,Catalonia,Spain,https://alenar-soft.itch.io/,NOVO
Alkimia Interactive (THQ Nordic),Developer,Barcelona,Catalonia,Spain,https://alkimiainteractive.com/,NOVO
Altered Orbit Studios,Developer,Barcelona,Catalonia,Spain,https://selacogame.com/,NOVO
Anchor Point Studios,Developer,Barcelona,Catalonia,Spain,https://anchor-point.com/,NOVO
AnKae Games,Developer,Barcelona,Catalonia,Spain,https://elementallis.com/,NOVO
Appnormals Team,Developer,Barcelona,Catalonia,Spain,https://appnormals.com/,NOVO
Arrowfist Games,Developer,Barcelona,Catalonia,Spain,https://arrowfistgames.com/,NOVO
Aruma Studios,Developer,A Coruña,Galicia,Spain,https://arumastudios.com/,NOVO
AxesInMotion (gamigo Group),Developer,Seville,Seville,Spain,https://axesinmotion.com/,NOVO
Baby Robot Games,Developer,Barcelona,Catalonia,Spain,https://www.ereban.com/,NOVO
Barbedwire Studios,Developer,Sagunto,Valencia,Spain,https://www.barbed-wire.eu/,NOVO
Baroque Decay Games,Developer,A Coruña,Galicia,Spain,https://baroquedecay.com/,NOVO
Beautiful Glitch,Developer,Barcelona,Catalonia,Spain,https://www.monsterprom.pizza/,NOVO
Beetlewing,Developer,Valencia,Valencia,Spain,https://beetlewing.pl/,NOVO
Bespoke Pixel,Developer,Barcelona,Catalonia,Spain,https://bespokepixel.studio/,NOVO
Boltz Entertainment,Developer,Oviedo,Asturias,Spain,https://boltzentertainment.com/,NOVO
Broken Bird Games,Developer,Las Palmas de Gran Canaria,Las Palmas,Spain,https://brokenbirdgames.com/,NOVO
Caligari Games,Developer,Barcelona,Catalonia,Spain,https://www.caligarigames.net/,NOVO
Codemanu,Developer,Cadiz,Andalucia,Spain,https://codemanu.itch.io/,NOVO
Dapper Penguin Studios,Developer,Madrid,Madrid,Spain,https://www.riseofindustry.com,NOVO
Daydream Software,Developer,Las Palmas de Gran Canaria,Las Palmas,Spain,https://www.daydreamsoftware.es/,NOVO
Deconstructeam,Developer,Valencia,Valencia,Spain,https://www.deconstructeam.com,NOVO
Devilish Games,Developer,Villena,Alicante,Spain,https://www.devilishgames.com/,NOVO
Digital Mind Games,Developer,Murcia,Murcia,Spain,https://dgmind.com/,NOVO
Digital Sun Games,Developer,Valencia,Valencia,Spain,https://digitalsungames.com/,NOVO
Dojo System,Developer,Madrid,Madrid,Spain,https://dojo-system.com/,NOVO
Dr. Kucho Games,Developer,Madrid,Madrid,Spain,https://www.drkuchogames.com/,NOVO
Dragon Resonance,Developer,Madrid,Madrid,Spain,https://www.dragonresonance.com/,NOVO
DreamSoftGames,Developer,Barcelona,Catalonia,Spain,https://www.dreamssoftgames.com,NOVO
Drop of Pixel,Developer,Terrassa,Catalonia,Spain,https://www.dropofpixel.com,NOVO
DYA Games,Developer,Málaga,Malaga,Spain,http://dyagames.com/,NOVO
EA Madrid (Electronic Arts),Developer and Publisher,Madrid,Madrid,Spain,https://ea.com/,NOVO
EA Sports (Electronic Arts),Developer,Madrid,Madrid,Spain,https://www.ea.com/ea-studios/ea-sports,NOVO
Eclipse Games,Developer,Zaragosa,Zaragoza,Spain,http://eclipse-games.net,NOVO
EF Games,Developer,Madrid,Madrid,Spain,https://ef.games/,NOVO
Endflame Studios,Developer,Barcelona,Catalonia,Spain,https://www.endflame.com,NOVO
Epictellers Entertainment,Developer,Barcelona,Catalonia,Spain,https://www.epictellers.com/,NOVO
Everguild,Developer,Madrid,Madrid,Spain,https://everguild.com/,NOVO
Fictiorama Studios,Developer,Madrid,Madrid,Spain,https://www.fictiorama.com,NOVO
Final Boss Games,Developer,Lleida,Catalonia,Spain,https://www.finalboss-games.com,NOVO
Final Screw Games,Developer,Madrid,Madrid,Spain,https://finalscrew.com/,NOVO
Finalboss Games,Developer,Tarrega,Catalonia,Spain,https://www.finalbossgame.com/,NOVO
Flying Beast Labs,Developer,Madrid,Madrid,Spain,https://www.flyingbeastlabs.com,NOVO
Fortis Games,Developer and Publisher,Remote,Remote,Spain,https://www.fortisgames.com/,NOVO
Foxter Studio,Developer,Santa Cruz de Tenerife,Canary Islands,Spain,https://www.foxterstudio.com/,NOVO
GameHouse Spain,Developer,Alicante,Alicante,Spain,https://www.gamehouse.com,NOVO
GameHouse Spain,Developer,Barcelona,Catalonia,Spain,https://www.gamehouse.com,NOVO
Gatolnary Games,Developer,Cabra,Andalucia,Spain,https://elizarfaft1aq.wixsite.com/gatoinarygames/en,NOVO
GECKODERS Games,Developer,Pamplona,Navarre,Spain,https://geckoders.es/,NOVO
GGTEch Studios,Developer,Alicante,Alicante,Spain,https://studios.ggtech.gg/,NOVO
Goca Games,Developer,Barcelona,Catalonia,Spain,https://www.gocagames.com/,NOVO
Ground Game Atelier,Developer,Barcelona,Catalonia,Spain,https://groundga.com/,NOVO
GTZAStudio,Developer,Altafulla,Tarragona,Spain,https://gtzastudio.com/,NOVO
Herobeat Studios,Developer,Barcelona,Catalonia,Spain,https://www.herobeatstudios.com,NOVO
Hexworks (CI Games),Developer,Barcelona,Catalonia,Spain,https://cigames.com/,NOVO
1000 Orks,Developer,Osnabruck,Saxony,Germany,https://1000orks.com/,NOVO
3d-io,Developer,Wiesbaden,Hesse,Germany,https://3d-io.com/,NOVO
42 Bits Entertainment,Developer,Juchen,Nordrhein-Westfalen,Germany,https://42bits-entertainment.com/,NOVO
Actrio Studio,Developer,Leipzig,Saxony,Germany,https://actrio-studio.de/,NOVO
Aerosoft,Developer,Buren,Nordrhein-Westfalen,Germany,https://aerosoft.com/,NOVO
Aesir Interactive,Developer,Munich,Bayern,Germany,https://aesir-interactive.com/,NOVO
Alchemical Works,Developer,Mainz,Rhineland,Germany,https://www.alchemical-works.com/,NOVO
Alchemist Interactive,Developer,Dusseldorf,Nordrhein-Westfalen,Germany,https://alchemist.email/our-studio/,NOVO
Amberdive Interactive,Developer,Hamburg,Metropolregion Hamburg,Germany,https://amberdive-interactive.com/,NOVO
Animation Arts,Developer,Halle,Saxony-Anhalt,Germany,https://animationarts.de/,NOVO
Anomaly Games,Developer,Berlin,Berlin,Germany,https://fermi-paradox.com/,NOVO
Application Systems Heidelberg,Developer,Heidelberg,Baden-Wurttemberg,Germany,https://application-systems.co.uk/,NOVO
Argonwood,Developer,Cologne,Nordrhein-Westfalen,Germany,https://argonwood.com/,NOVO
Aruba Studios,Developer,Mulheim an der Ruhr,Nordrhein-Westfalen,Germany,https://aruba-studios.de/,NOVO
astragon Development (Team17),Developer and Publisher,Dusseldorf,Nordrhein-Westfalen,Germany,https://www.astragon.com/,NOVO
b-alive,Developer,Ummendorf,Baden-Wurttemberg,Germany,http://www.b-alive.de/,NOVO
Barrel Roll Games,Developer,Eilenstedt,Saxony-Anhalt,Germany,https://barrelrollgames.com/,NOVO
Barrell Roll Games,Developer,Hamburg,Metropolregion Hamburg,Germany,https://barrelrollgames.com/,NOVO
BeamNG,Developer,Bremen,Bremen,Germany,https://www.beamng.gmbh/,NOVO
Binary Impacts,Developer,Niederelbert,Rhineland-Palatinate,Germany,https://www.binaryimpact.de/,NOVO
Bippinbits,Developer,Radeberg,Saxony,Germany,https://bippinbits.com/,NOVO
bitComposer Interactive,Developer and Publisher,Eschborn,Hesse,Germany,https://bitcomposer.com/,NOVO
Bitfall Studios,Developer,Petersberg,Hesse,Germany,https://bitfallstudios.de/,NOVO
Black Pants Game Studio,Developer,Berlin,Berlin,Germany,https://www.blackpants.de/,NOVO
Black Pants Game Studio,Developer,Kassel,Hesse,Germany,https://www.blackpants.de/,NOVO
Bleak Mill Games,Developer,Berlin,Berlin,Germany,https://bleakmill.com/,NOVO
Blue Backpack,Developer,Berlin,Berlin,Germany,https://bluebackpackgames.com/,NOVO
Boxelware,Developer,Erlangen,Bayern,Germany,https://boxelware.com/,NOVO
Bright Future,Developer,Cologne,Nordrhein-Westfalen,Germany,https://www.brightfuture.de/,NOVO
BrutalHack,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.brutalhack.com/,NOVO
btf (bildundtonfabrik),Developer,Berlin,Berlin,Germany,https://btf.de/,NOVO
btf (bildundtonfabrik),Developer,Cologne,Nordrhein-Westfalen,Germany,https://btf.de/,NOVO
Bulkhead Darkhorse,Developer,Munich,Bayern,Germany,https://bulkhead.com/,NOVO
Byterockers’ Games,Developer and Publisher,Berlin,Berlin,Germany,https://byterockers.games/,NOVO
Caipirinha Games,Developer and Publisher,Altenholz,Schleswig-Holstein,Germany,https://www.caipirinhagames.de/,NOVO
Cannons and Sparrows Creative Studio,Developer,Hamburg,Metropolregion Hamburg,Germany,https://www.cannonsandsparrows.com/,NOVO
Causa Creations,Developer,Karlsruhe,Baden-Wurttemberg,Germany,https://www.causacreations.net/,NOVO
Chasing Carrots,Developer,Stuttgart,Baden-Wurttemberg,Germany,https://www.chasing-carrots.com/,NOVO
Chimera Entertainment,Developer,Munich,Bayern,Germany,https://chimera-entertainment.com/,NOVO
Clarity Games,Developer,Stuttgart,Baden-Wurttemberg,Germany,https://claritygames.de/,NOVO
Claymore Game Studios,Developer,Darmstadt,Hesse,Germany,https://claymore-games.com/,NOVO
Cobalt Lane,Developer,Munich,Bayern,Germany,https://cobalt-lane.com/,NOVO
CodePEAS,Developer,Munich,Bayern,Germany,https://codepeas.itch.io/,NOVO
