# Fila gamedevmap dos tres paises que o Vini pediu, colhida em 06/09
# Formato: nome,tipo,cidade,estado,pais,site,status
# So os do tipo Developer e Developer and Publisher, que sao os que podem ter time de arte.
# 129 nomes que a campanha NUNCA contatou. Filtrar por encaixe antes de aprovar.
Nolla Games,Developer,Helsinki,Uusimaa,Finland,https://www.nollagames.com,NOVO
Odd Latent Games,Developer,Espoo,Uusimaa,Finland,https://www.oddlatent.com/,NOVO
One Trick Entertainment,Developer,Tampere,Pirkanmaa,Finland,https://onetrick.games/,NOVO
Osumia Games,Developer,Tampere,Pirkanmaa,Finland,http://www.runningwithrifles.com/,NOVO
Panzerdog,Developer,Helsinki,Uusimaa,Finland,https://www.panzerdog.com,NOVO
Part Time Monkey,Developer,Helsinki,Uusimaa,Finland,https://www.parttimemonkey.com,NOVO
Platonic Partnership,Developer,Vaasa,Ostrobothnia,Finland,https://platonicpartnership.com/,NOVO
Plebeian Studio,Developer,Oulu,Ostrobothnia,Finland,https://plebeianstudio.com/,NOVO
Psyon Games,Developer,Jyväskylä,Central Finland,Finland,https://psyongames.com/,NOVO
Redbeak Games,Developer,Espoo,Uusimaa,Finland,https://redbeakgames.com/,NOVO
Sandsoft Games,Developer and Publisher,Helsinki,Uusimaa,Finland,https://sandsoft.com/,NOVO
Secret Exit,Developer,Helsinki,Uusimaa,Finland,http://secretexit.com/,NOVO
Abbey Games,Developer,Utrecht,Utrecht,Netherlands,https://abbeygames.com/,NOVO
Active Theory,Developer,Amsterdam,Noord-Holland,Netherlands,https://activetheory.net/,NOVO
Adriaan de Jongh,Developer,Amsterdam,Noord-Holland,Netherlands,https://adriaan.games/,NOVO
Appelmoes,Developer,Rotterdam,Zuid-Holland,Netherlands,https://appelmoes.games/,NOVO
Artificial Core,Developer and Publisher,Amsterdam,Noord-Holland,Netherlands,https://artificialcore.com/,NOVO
Azerion,Developer and Publisher,Amsterdam,Noord-Holland,Netherlands,https://azerion.com/,NOVO
Behaviour Rotterdam,Developer,Rotterdam,Zuid-Holland,Netherlands,https://www.bhvr.com/rotterdam/,NOVO
Big Bang Studio,Developer,Groningen,Groningen,Netherlands,https://bigbangstudio.nl/,NOVO
Black Cube Games,Developer,Amsterdam,Noord-Holland,Netherlands,https://blackcubegames.com/,NOVO
BlackMill Games,Developer,Alkmaar,Noord-Holland,Netherlands,https://blackmillgames.com/,NOVO
Blast Mode Games,Developer,Den Haag,Zuid-Holland,Netherlands,https://blastmode.games/,NOVO
Blender Studio,Developer,Amsterdam,Noord-Holland,Netherlands,https://studio.blender.org/,NOVO
BLUE BOX Game Studios,Developer,Leiden,South Holland,Netherlands,https://blueboxgamestudios.com/,NOVO
Broken Bag Games,Developer,Leeuwarden,Friesland,Netherlands,https://www.brokenbaggames.com/,NOVO
Celine and the Silly Stars,Developer,Utrecht,Utrecht,Netherlands,https://celineveltman.com/welcome,NOVO
Chronix Pulse,Developer,Amsterdam,Noord-Holland,Netherlands,https://chronixpulse.com/,NOVO
Codename Red,Developer,Etten-Leur,Noord-Brabant,Netherlands,https://www.codenamered.nl/,NOVO
Convoy Games,Developer,Leeuwarden,Friesland,Netherlands,https://www.convoy-games.com,NOVO
CoolGames,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.coolgames.com,NOVO
Crimson Owl Studios,Developer,Utrecht,Utrecht,Netherlands,http://www.caromble.com.s3-website.eu-central-1.amazonaws.com/,NOVO
Critical Bit,Developer,Leeuwarden,Friesland,Netherlands,https://www.critical-bit.com,NOVO
Degoma Games,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.degoma.net/,NOVO
Denda Games,Developer,Hengelo,Overijssel,Netherlands,https://denda-corporate.com/,NOVO
Dragonspirit Games,Developer,Nieuwaal,Gelderland,Netherlands,https://dragonspiritgames.nl/,NOVO
Duckland Games,Developer,Breda,Noord-Brabant,Netherlands,https://www.ducklandgames.com/,NOVO
Dutch Game Studio,Developer,Woerden,Utrecht,Netherlands,https://www.dutchgamestudio.com,NOVO
Eerie Guest Studios (tinyBuild),Developer,Hilversum,Noord-Holland,Netherlands,https://www.tinybuild.com/,NOVO
Enchanted Works,Developer,Amstelveen,Noord-Holland,Netherlands,https://www.enchantedworks.nl/,NOVO
Engine Software,Developer,Doetinchem,Gelderland,Netherlands,https://engine-software.com/,NOVO
Ewoud van der Werf,Developer,Leeuwarden,Friesland,Netherlands,https://ewoud.dev/,NOVO
Extra Nice,Developer,Leeuwarden,Friesland,Netherlands,https://extra-nice.net/,NOVO
Feel Free Games,Developer,Sassenheim,South Holland,Netherlands,https://feelfreegames.com/,NOVO
Frog Vibes,Developer,Utrecht,Utrecht,Netherlands,https://herecomesniko.com/,NOVO
FrogVibes,Developer,Wageningen,Gelderland,Netherlands,https://www.herecomesniko.com,NOVO
Galaxy Grove,Developer,Utrecht,Utrecht,Netherlands,https://www.galaxy-grove.com/,NOVO
Gamebasics (Miniclip),Developer,Zoetermeer,Zuid-Holland,Netherlands,https://www.gamebasics.nl/,NOVO
GAMEDIA,Developer,Alkmaar,Noord-Holland,Netherlands,https://www.gamedia.nl,NOVO
GameHouse - Eindhoven,Developer,Eindhoven,Noord-Brabant,Netherlands,https://www.gamehouse.com,NOVO
GamePoint,Developer,Den Haag,Zuid-Holland,Netherlands,https://www.gamepoint.com,NOVO
GameSqule,Developer,Badhoevedorp,Noord-Holland,Netherlands,https://gamesqule.com/,NOVO
Gamious,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.gamious.com,NOVO
Ghoul School Games,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.ghoulschool.games/,NOVO
Grimmwyrd Studios,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.grimmwyrdstudios.com/,NOVO
Guerilla Games (Sony),Developer,Amsterdam,Noord-Holland,Netherlands,https://www.guerrilla-games.com,NOVO
haute technique,Developer,Utrecht,Utrecht,Netherlands,https://www.hautetechnique.com,NOVO
HomeBearStudio,Developer,Breda,Noord-Brabant,Netherlands,https://www.homebearstudio.com,NOVO
Hulan Studio,Developer,Eindhoven,Noord-Brabant,Netherlands,https://hulan.nl/,NOVO
Ijsfontein,Developer,Amsterdam,Noord-Holland,Netherlands,https://www.ijsfontein.nl,NOVO
Jagaco,Developer,Zoetermeer,Zuid-Holland,Netherlands,https://www.jagaco.com,NOVO
Kenney,Developer,Kerkrade,Limburg,Netherlands,https://www.kenney.nl,NOVO
KeokeN Interactive,Developer,Hoofddorp,Noord-Holland,Netherlands,https://www.keoken.nl,NOVO
