estudio,cidade,provincia,quadro,estado,detalhe,disciplinas
Fotomedia,Brisbane,Australia,https://www.fotomedia.com.au/,sem-arte,"200, 6039 chars",
Fox & Co Design,Wellington,New Zealand,https://foxandco.design/animation-studio-info/,js,"202, corpo de 1 chars",
Foxie Games,Adelaide,Australia,http://foxiegames.com/jobs/,erro,HTTP Error 403: Forbidden,
Future Associate,Sydney,Australia,https://www.future-associate.com/careers/,sem-arte,"200, 1475 chars",
FutureDeluxe,Sydney,Australia,https://futuredeluxe.com/careers,js,"202, corpo de 1 chars",
Games Lab,Sydney,Australia,http://www.gameslab.biz/careers/,erro,HTTP Error 403: Forbidden,
Girraphic Park,Surry Hills,Australia,https://girraphic.com/,sem-arte,"200, 1586 chars",
Goodman Brothers,Surry Hills,Australia,https://www.goodmanbrothers.com/,js,"200, corpo de 68 chars",
Grease Monkey Games,Melbourne,Australia,https://www.greasemonkeygames.com/careers,ARTE,200,3d artist
Greenheart Games,Brisbane,Australia,http://www.greenheartgames.com/jobs/,erro,HTTP Error 403: Forbidden,
Growl Interactive,Melbourne,Australia,http://www.growlinteractive.com/,erro,<urlopen error [Errno -2] Name or service not known>,
Halfbrick Studios,Brisbane,Australia,https://halfbrick.com/about-us/careers/,sem-arte,"200, 3219 chars",
Harmonious Productions,Melbourne,Australia,https://www.harmoniousproductions.com/,erro,<urlopen error Tunnel connection failed: 502 Bad Gateway>,
Hashbane,Auckland,New Zealand,https://hashbane.bamboohr.com/jobs/,erro,HTTP Error 403: Forbidden,
Heard Agency,Sydney,Australia,http://heardagency.com/careers/,erro,HTTP Error 403: Forbidden,
Heckler,Sydney,Australia,https://www.heckler.tv/,sem-arte,"200, 4710 chars",
HighPitchedStudios,Wellington,New Zealand,https://www.facebook.com/HighPitchedStudios/,erro,HTTP Error 400: Bad Request,
Hooligan Animation,Brisbane,Australia,https://hooligananimation.com/#home-page,sem-arte,"200, 2935 chars",
House of Nerds,Sydney,Australia,https://www.houseofn3rds.com/,sem-arte,"200, 3601 chars",
Huhu Studios,Snells Beach,New Zealand,http://www.huhustudios.com/,erro,HTTP Error 403: Forbidden,
Ignition Immersive,Melbourne,Australia,http://immersive.video/,erro,HTTP Error 403: Forbidden,
Illuvium,Sydney,Australia,https://www.illuvium.io/jobs,erro,HTTP Error 429: Too Many Requests,
Immutable,Sydney,Australia,https://www.immutable.com/careers,sem-arte,"200, 5331 chars",
Infinity Plus Two,Melbourne,Australia,https://infinityplustwo.bamboohr.com/jobs/,js,"200, corpo de 10 chars",
Jumbla,Melbourne,Australia,https://www.jumbla.com/careers,sem-arte,"200, 4162 chars",
KOJO,Adelaide,Australia,https://kojo.com.au/careers/,sem-arte,"200, 19695 chars",
Lamplight Forest,Adelaide,Australia,http://lamplightforest.com/jobs.html,erro,HTTP Error 403: Forbidden,
League of Geeks,Melbourne,Australia,http://leagueofgeeks.com/careers,erro,HTTP Error 403: Forbidden,
Lee Bones Productions,Melbourne,Australia,https://leebones.com.au/,js,"200, corpo de 259 chars",
Legend Story Studios,Auckland,New Zealand,https://legendstory.com/contact,sem-arte,"200, 803 chars",
Lemonade Games,Sydney,Australia,https://lemonadegames.co/,erro,<urlopen error [Errno 104] Connection reset by peer>,
Limehouse,Sydney,Australia,https://www.limehousecreative.com/,sem-arte,"200, 7308 chars",
Liminal VR,Melbourne,Australia,http://liminalvr.com/,erro,HTTP Error 403: Forbidden,
LionsHeart Studios,Sydney,Australia,http://lionsheartstudios.com/careers/,erro,HTTP Error 403: Forbidden,
Lithodomos VR,Melbourne,Australia,http://www.lithodomosvr.com/,erro,HTTP Error 403: Forbidden,
Lost Cosmonauts,Wellington,New Zealand,https://www.lostcosmonauts.com/,sem-arte,"200, 1956 chars",
Loveshack,Melbourne,Australia,http://loveshackentertainment.com/,erro,HTTP Error 403: Forbidden,
Luce Creative,Melbourne,Australia,http://luce-creative.com/,erro,HTTP Error 403: Forbidden,
Mad Carnival,Dunedin,New Zealand,https://www.madcarnivalgames.com/,sem-arte,"200, 684 chars",
Masters of Reality,Auckland,New Zealand,https://morvfx.com/join,sem-arte,"200, 1827 chars",
Mayday,Wellington,New Zealand,https://www.mayday.nz/careers-1,erro,HTTP Error 404: Not Found,
Mello Motion,Wollongong,Australia,https://mellomotion.co/,sem-arte,"200, 3299 chars",
Mighty Eyes,Auckland,New Zealand,https://www.mightyeyes.games/careers,sem-arte,"200, 1238 chars",
Mighty Kingdom,Adelaide,Australia,https://www.mightykingdom.com/careers/,sem-arte,"200, 3541 chars",
MISTER,Sydney,Australia,http://mister.net.au/,erro,HTTP Error 403: Forbidden,
ModelFarm,Adelaide,Australia,https://modelfarm.com.au/,sem-arte,"200, 608 chars",
